building_id,db_id,floor_id,bounding_box_min_z
11111111-1111-1111-1111-111111111111,33705,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.52
11111111-1111-1111-1111-111111111111,33707,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.52
11111111-1111-1111-1111-111111111111,33709,0ddd2728-b943-435a-9774-6c6f4018c7ea,-64.19
11111111-1111-1111-1111-111111111111,33711,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.54
11111111-1111-1111-1111-111111111111,33713,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.54
11111111-1111-1111-1111-111111111111,33715,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.55
11111111-1111-1111-1111-111111111111,33717,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.54
11111111-1111-1111-1111-111111111111,33719,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.55
11111111-1111-1111-1111-111111111111,33721,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.55
11111111-1111-1111-1111-111111111111,33723,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.55
11111111-1111-1111-1111-111111111111,33725,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.54
11111111-1111-1111-1111-111111111111,33727,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.52
11111111-1111-1111-1111-111111111111,33729,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.55
11111111-1111-1111-1111-111111111111,33731,0ddd2728-b943-435a-9774-6c6f4018c7ea,-57.14
11111111-1111-1111-1111-111111111111,33733,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-54.56
11111111-1111-1111-1111-111111111111,33735,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-55.33
11111111-1111-1111-1111-111111111111,33737,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-55.33
11111111-1111-1111-1111-111111111111,33739,0ddd2728-b943-435a-9774-6c6f4018c7ea,-60.09
11111111-1111-1111-1111-111111111111,33741,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.55
11111111-1111-1111-1111-111111111111,33743,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.55
11111111-1111-1111-1111-111111111111,33745,4e720225-09be-4a20-b117-8e7e1ed6c54f,31.8
11111111-1111-1111-1111-111111111111,33747,4e720225-09be-4a20-b117-8e7e1ed6c54f,31.8
11111111-1111-1111-1111-111111111111,33749,4e720225-09be-4a20-b117-8e7e1ed6c54f,31.98
11111111-1111-1111-1111-111111111111,33751,4e720225-09be-4a20-b117-8e7e1ed6c54f,37.87
11111111-1111-1111-1111-111111111111,33753,4e720225-09be-4a20-b117-8e7e1ed6c54f,37.87
11111111-1111-1111-1111-111111111111,33755,4e720225-09be-4a20-b117-8e7e1ed6c54f,37.82
11111111-1111-1111-1111-111111111111,33757,4e720225-09be-4a20-b117-8e7e1ed6c54f,37.82
11111111-1111-1111-1111-111111111111,33759,0ddd2728-b943-435a-9774-6c6f4018c7ea,-63.21
11111111-1111-1111-1111-111111111111,33761,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.55
11111111-1111-1111-1111-111111111111,33763,0ddd2728-b943-435a-9774-6c6f4018c7ea,-63.53
11111111-1111-1111-1111-111111111111,33765,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.55
11111111-1111-1111-1111-111111111111,33767,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.55
11111111-1111-1111-1111-111111111111,33769,0ddd2728-b943-435a-9774-6c6f4018c7ea,-63.21
11111111-1111-1111-1111-111111111111,33771,0ddd2728-b943-435a-9774-6c6f4018c7ea,-64.03
11111111-1111-1111-1111-111111111111,33773,0ddd2728-b943-435a-9774-6c6f4018c7ea,-64.03
11111111-1111-1111-1111-111111111111,33775,d9c1a0b9-ef61-4052-9630-e10284767a16,-43.04
11111111-1111-1111-1111-111111111111,33777,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-50.43
11111111-1111-1111-1111-111111111111,33779,0ddd2728-b943-435a-9774-6c6f4018c7ea,-57.43
11111111-1111-1111-1111-111111111111,33781,0ddd2728-b943-435a-9774-6c6f4018c7ea,-57.43
11111111-1111-1111-1111-111111111111,33783,e2e66e8b-733e-42bb-8045-f686706bd1e0,23.4
11111111-1111-1111-1111-111111111111,33785,0ddd2728-b943-435a-9774-6c6f4018c7ea,-57.43
11111111-1111-1111-1111-111111111111,33787,3d721f98-43fe-4506-8f26-3e1f82cd353b,-28.03
11111111-1111-1111-1111-111111111111,33789,c1595300-71fd-443c-891b-15e5feb8e8cd,-3.16
11111111-1111-1111-1111-111111111111,33791,e2e66e8b-733e-42bb-8045-f686706bd1e0,23.41
11111111-1111-1111-1111-111111111111,33793,0ddd2728-b943-435a-9774-6c6f4018c7ea,-57.75
11111111-1111-1111-1111-111111111111,33795,0ddd2728-b943-435a-9774-6c6f4018c7ea,-57.7
11111111-1111-1111-1111-111111111111,33797,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.31
11111111-1111-1111-1111-111111111111,33799,0ddd2728-b943-435a-9774-6c6f4018c7ea,-59.85
11111111-1111-1111-1111-111111111111,33801,0ddd2728-b943-435a-9774-6c6f4018c7ea,-64.48
11111111-1111-1111-1111-111111111111,33803,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.37
11111111-1111-1111-1111-111111111111,33805,e2e66e8b-733e-42bb-8045-f686706bd1e0,23.41
11111111-1111-1111-1111-111111111111,33807,0ddd2728-b943-435a-9774-6c6f4018c7ea,-64.03
11111111-1111-1111-1111-111111111111,33809,0ddd2728-b943-435a-9774-6c6f4018c7ea,-58.77
11111111-1111-1111-1111-111111111111,33811,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-48.77
11111111-1111-1111-1111-111111111111,33813,0ddd2728-b943-435a-9774-6c6f4018c7ea,-58.77
11111111-1111-1111-1111-111111111111,33815,0ddd2728-b943-435a-9774-6c6f4018c7ea,-57.99
11111111-1111-1111-1111-111111111111,33817,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.37
11111111-1111-1111-1111-111111111111,33819,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.32
11111111-1111-1111-1111-111111111111,33821,0ddd2728-b943-435a-9774-6c6f4018c7ea,-63.95
11111111-1111-1111-1111-111111111111,33823,0ddd2728-b943-435a-9774-6c6f4018c7ea,-63.29
11111111-1111-1111-1111-111111111111,33825,0ddd2728-b943-435a-9774-6c6f4018c7ea,-63.29
11111111-1111-1111-1111-111111111111,33827,0ddd2728-b943-435a-9774-6c6f4018c7ea,-63.95
11111111-1111-1111-1111-111111111111,33829,3d721f98-43fe-4506-8f26-3e1f82cd353b,-26.6
11111111-1111-1111-1111-111111111111,33831,3d721f98-43fe-4506-8f26-3e1f82cd353b,-27.91
11111111-1111-1111-1111-111111111111,33833,3d721f98-43fe-4506-8f26-3e1f82cd353b,-27.91
11111111-1111-1111-1111-111111111111,33835,3d721f98-43fe-4506-8f26-3e1f82cd353b,-27.91
11111111-1111-1111-1111-111111111111,33837,3d721f98-43fe-4506-8f26-3e1f82cd353b,-27.73
11111111-1111-1111-1111-111111111111,33839,3d721f98-43fe-4506-8f26-3e1f82cd353b,-26.94
11111111-1111-1111-1111-111111111111,33841,3d721f98-43fe-4506-8f26-3e1f82cd353b,-28.27
11111111-1111-1111-1111-111111111111,33843,3d721f98-43fe-4506-8f26-3e1f82cd353b,-28.27
11111111-1111-1111-1111-111111111111,33845,3d721f98-43fe-4506-8f26-3e1f82cd353b,-28.23
11111111-1111-1111-1111-111111111111,33847,3d721f98-43fe-4506-8f26-3e1f82cd353b,-28.24
11111111-1111-1111-1111-111111111111,33849,3d721f98-43fe-4506-8f26-3e1f82cd353b,-28.23
11111111-1111-1111-1111-111111111111,33851,3d721f98-43fe-4506-8f26-3e1f82cd353b,-28.23
11111111-1111-1111-1111-111111111111,33853,3d721f98-43fe-4506-8f26-3e1f82cd353b,-28.23
11111111-1111-1111-1111-111111111111,33855,3d721f98-43fe-4506-8f26-3e1f82cd353b,-28.24
11111111-1111-1111-1111-111111111111,33857,3d721f98-43fe-4506-8f26-3e1f82cd353b,-28.23
11111111-1111-1111-1111-111111111111,33859,3d721f98-43fe-4506-8f26-3e1f82cd353b,-28.27
11111111-1111-1111-1111-111111111111,33861,3d721f98-43fe-4506-8f26-3e1f82cd353b,-28.27
11111111-1111-1111-1111-111111111111,33863,3d721f98-43fe-4506-8f26-3e1f82cd353b,-27.94
11111111-1111-1111-1111-111111111111,33865,3d721f98-43fe-4506-8f26-3e1f82cd353b,-27.94
11111111-1111-1111-1111-111111111111,33867,3d721f98-43fe-4506-8f26-3e1f82cd353b,-27.94
11111111-1111-1111-1111-111111111111,33869,3d721f98-43fe-4506-8f26-3e1f82cd353b,-27.9
11111111-1111-1111-1111-111111111111,33871,3d721f98-43fe-4506-8f26-3e1f82cd353b,-29.75
11111111-1111-1111-1111-111111111111,33873,3d721f98-43fe-4506-8f26-3e1f82cd353b,-27.94
11111111-1111-1111-1111-111111111111,33875,3d721f98-43fe-4506-8f26-3e1f82cd353b,-26.73
11111111-1111-1111-1111-111111111111,33877,3d721f98-43fe-4506-8f26-3e1f82cd353b,-27.7
11111111-1111-1111-1111-111111111111,33879,3d721f98-43fe-4506-8f26-3e1f82cd353b,-24.66
11111111-1111-1111-1111-111111111111,33881,3d721f98-43fe-4506-8f26-3e1f82cd353b,-29.74
11111111-1111-1111-1111-111111111111,33883,3d721f98-43fe-4506-8f26-3e1f82cd353b,-26.42
11111111-1111-1111-1111-111111111111,33885,00856c02-8250-4129-a6c4-9c136cb7ccff,-16.45
11111111-1111-1111-1111-111111111111,33887,3d721f98-43fe-4506-8f26-3e1f82cd353b,-24.42
11111111-1111-1111-1111-111111111111,33889,00856c02-8250-4129-a6c4-9c136cb7ccff,-13.31
11111111-1111-1111-1111-111111111111,33891,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.63
11111111-1111-1111-1111-111111111111,33893,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.63
11111111-1111-1111-1111-111111111111,33895,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.63
